Dealer,State,SaleDate,Make,Model,Year,Mileage,SalePrice,CostPrice,Profit,PaymentType,CustomerType,DaysOnLot,CarType
Toyota of Manhattan,NY,2018-08-17,Toyota,Corolla,2024,71028,29145,26698,2446,Loan,New,52,Sedan
Bay Area Toyota,CA,2022-12-15,Toyota,Camry,2018,55230,21757,19663,2094,Loan,Returning,18,Sedan
San Diego Toyota,CA,2022-05-09,Toyota,Tundra,2018,63548,26627,24563,2063,Lease,New,60,Truck
Dallas Toyota,TX,2022-11-24,Toyota,Rav4,2014,57349,18857,16608,2249,Cash,New,22,SUV
Brooklyn Toyota,NY,2015-09-27,Toyota,Corolla,2022,33050,34076,27563,6513,Loan,New,46,Sedan
Bay Area Toyota,CA,2023-07-02,Toyota,Tacoma,2023,64419,33157,26679,6477,Cash,New,40,Truck
Queens Toyota,NY,2016-06-02,Toyota,Highlander,2020,35215,28419,25813,2606,Loan,New,42,SUV
Bay Area Toyota,CA,2023-09-09,Toyota,Camry,2017,57486,26498,22826,3671,Loan,New,34,Sedan
Brooklyn Toyota,NY,2019-05-15,Toyota,Tacoma,2013,72181,16612,15329,1282,Lease,Returning,11,Truck
Toyota of Manhattan,NY,2024-12-10,Toyota,Prius,2023,0,38802,36037,2764,Loan,Returning,30,Hatchback
Dallas Toyota,TX,2023-08-23,Toyota,Tundra,2019,12388,24250,20650,3599,Cash,New,45,Truck
Queens Toyota,NY,2024-02-18,Toyota,Corolla,2021,69208,23538,19519,4018,Cash,New,50,Sedan
Bay Area Toyota,CA,2016-04-14,Toyota,Corolla,2022,25316,35110,29128,5982,Lease,New,29,Sedan
Queens Toyota,NY,2018-11-19,Toyota,Rav4,2017,74396,33324,29182,4141,Loan,New,33,SUV
Dallas Toyota,TX,2022-07-18,Toyota,Corolla,2013,72875,20311,17358,2953,Loan,New,24,Sedan
Bay Area Toyota,CA,2021-07-08,Toyota,Tundra,2014,46481,26956,21819,5137,Loan,New,16,Truck
Dallas Toyota,TX,2021-08-09,Toyota,Tacoma,2022,17915,27867,22854,5012,Loan,New,44,Truck
Brooklyn Toyota,NY,2023-07-07,Toyota,Camry,2012,95162,19539,17584,1955,Loan,New,42,Sedan
Toyota of Manhattan,NY,2018-10-13,Toyota,Prius,2018,67353,25862,21451,4410,Loan,Returning,48,Hatchback
Brooklyn Toyota,NY,2020-01-03,Toyota,Highlander,2016,49013,27429,22598,4830,Loan,Returning,39,SUV
Austin Toyota,TX,2024-11-25,Toyota,Rav4,2010,79544,16731,13485,3246,Loan,New,32,SUV
Toyota of Manhattan,NY,2015-09-27,Toyota,Highlander,2019,43770,27310,22927,4382,Loan,Returning,42,SUV
Austin Toyota,TX,2016-11-10,Toyota,Corolla,2020,44754,25340,22152,3188,Cash,New,63,Sedan
Bay Area Toyota,CA,2016-04-24,Toyota,Rav4,2019,54624,29693,25284,4408,Lease,New,7,SUV
Toyota of Manhattan,NY,2023-05-04,Toyota,Prius,2012,72582,9922,9313,609,Loan,New,37,Hatchback
Toyota of Houston,TX,2021-09-14,Toyota,Highlander,2021,43337,26768,22361,4407,Cash,New,49,SUV
Austin Toyota,TX,2017-05-21,Toyota,Corolla,2022,55262,26892,22048,4844,Loan,New,41,Sedan
San Diego Toyota,CA,2022-01-16,Toyota,Tundra,2023,0,34042,27965,6076,Loan,New,29,Truck
San Diego Toyota,CA,2016-05-02,Toyota,Rav4,2018,48801,25545,22811,2733,Loan,New,39,SUV
Dallas Toyota,TX,2018-10-13,Toyota,Corolla,2019,60989,26416,24064,2351,Cash,New,26,Sedan
Austin Toyota,TX,2020-12-15,Toyota,Camry,2012,56970,17301,14819,2482,Loan,Returning,55,Sedan
Bay Area Toyota,CA,2017-06-16,Toyota,Tacoma,2023,42139,34122,30576,3545,Loan,New,59,Truck
Toyota of Houston,TX,2015-11-15,Toyota,Highlander,2021,50143,22814,21208,1605,Loan,New,47,SUV
Queens Toyota,NY,2016-01-22,Toyota,Corolla,2011,56402,19393,18098,1295,Loan,New,56,Sedan
Bay Area Toyota,CA,2017-03-10,Toyota,Tacoma,2011,146324,12194,10470,1724,Loan,New,60,Truck
San Diego Toyota,CA,2016-04-24,Toyota,Corolla,2017,64434,21872,17890,3981,Lease,Returning,30,Sedan
Toyota of Houston,TX,2023-04-16,Toyota,Tacoma,2020,40468,30429,25345,5084,Loan,New,54,Truck
Queens Toyota,NY,2022-01-16,Toyota,Rav4,2019,52384,24658,22035,2622,Lease,New,27,SUV
Bay Area Toyota,CA,2019-05-26,Toyota,Camry,2020,88268,29914,25592,4321,Cash,New,35,Sedan
Queens Toyota,NY,2015-04-09,Toyota,Rav4,2022,48443,31594,26396,5198,Loan,New,59,SUV
Toyota of Los Angeles,CA,2021-11-05,Toyota,Tacoma,2023,40065,26864,24573,2291,Cash,New,56,Truck
Toyota of Los Angeles,CA,2021-06-24,Toyota,Tacoma,2019,40163,30787,28192,2594,Loan,Returning,31,Truck
Toyota of Manhattan,NY,2019-02-14,Toyota,Corolla,2019,58969,24157,19619,4538,Cash,New,24,Sedan
Dallas Toyota,TX,2017-02-12,Toyota,Tacoma,2015,31952,26336,23963,2373,Cash,New,15,Truck
Bay Area Toyota,CA,2021-08-17,Toyota,Highlander,2011,55746,17412,15838,1574,Loan,Returning,50,SUV
Toyota of Manhattan,NY,2024-12-08,Toyota,Prius,2015,84874,21790,17913,3877,Loan,New,34,Hatchback
Toyota of Los Angeles,CA,2020-11-18,Toyota,Tundra,2016,58258,16031,14734,1296,Lease,New,35,Truck
San Diego Toyota,CA,2022-02-03,Toyota,Corolla,2010,40068,25474,21937,3537,Lease,New,10,Sedan
Toyota of Manhattan,NY,2021-06-26,Toyota,Tundra,2016,52517,23104,21102,2001,Cash,Returning,12,Truck
San Diego Toyota,CA,2021-06-13,Toyota,Prius,2016,81003,16230,15037,1192,Lease,New,20,Hatchback
Toyota of Houston,TX,2023-08-18,Toyota,Camry,2022,30825,31164,26769,4395,Cash,New,17,Sedan
Dallas Toyota,TX,2018-11-27,Toyota,Camry,2017,98639,23293,20813,2479,Loan,Returning,1,Sedan
Queens Toyota,NY,2022-02-25,Toyota,Camry,2020,38117,29330,26527,2803,Cash,Returning,53,Sedan
Toyota of Houston,TX,2020-03-18,Toyota,Corolla,2022,33134,23439,18925,4514,Loan,New,1,Sedan
San Diego Toyota,CA,2021-10-04,Toyota,Prius,2013,62612,28089,26357,1732,Loan,Returning,40,Hatchback
Brooklyn Toyota,NY,2023-10-24,Toyota,Corolla,2016,41684,24972,22246,2725,Cash,New,18,Sedan
Toyota of Los Angeles,CA,2021-06-02,Toyota,Prius,2021,60162,30103,24145,5958,Loan,New,29,Hatchback
San Diego Toyota,CA,2020-10-19,Toyota,Corolla,2015,82582,16083,14539,1543,Cash,New,26,Sedan
Toyota of Los Angeles,CA,2016-07-03,Toyota,Highlander,2024,46714,31517,26377,5139,Loan,New,77,SUV
Toyota of Manhattan,NY,2015-07-27,Toyota,Camry,2020,35449,28565,23521,5043,Loan,New,30,Sedan
San Diego Toyota,CA,2023-01-17,Toyota,Rav4,2018,40969,22016,20398,1618,Loan,New,29,SUV
San Diego Toyota,CA,2015-03-20,Toyota,Camry,2015,59968,24501,20222,4278,Loan,New,58,Sedan
Queens Toyota,NY,2024-01-20,Toyota,Prius,2012,72971,19231,16109,3122,Cash,New,16,Hatchback
San Diego Toyota,CA,2020-09-19,Toyota,Tacoma,2018,62735,23324,20400,2924,Cash,New,31,Truck
Queens Toyota,NY,2023-01-23,Toyota,Tundra,2022,53146,27556,23412,4144,Loan,Returning,40,Truck
Austin Toyota,TX,2021-06-08,Toyota,Prius,2023,0,30812,26627,4184,Loan,New,19,Hatchback
Bay Area Toyota,CA,2021-05-17,Toyota,Corolla,2024,30362,36943,33013,3930,Cash,Returning,24,Sedan
Bay Area Toyota,CA,2021-05-10,Toyota,Prius,2016,79875,21488,18607,2880,Loan,New,42,Hatchback
Queens Toyota,NY,2023-11-13,Toyota,Tundra,2011,71123,20004,18747,1256,Loan,New,28,Truck
Bay Area Toyota,CA,2020-06-24,Toyota,Corolla,2024,31757,41488,37670,3817,Loan,New,48,Sedan
Toyota of Los Angeles,CA,2022-09-24,Toyota,Tundra,2014,57344,23545,20386,3159,Loan,New,30,Truck
Queens Toyota,NY,2021-12-26,Toyota,Camry,2017,66639,27492,22463,5028,Loan,New,29,Sedan
Toyota of Houston,TX,2018-08-06,Toyota,Prius,2020,4054,37887,31955,5931,Loan,Returning,62,Hatchback
Toyota of Manhattan,NY,2022-07-06,Toyota,Prius,2015,63039,19032,15336,3695,Loan,New,56,Hatchback
Queens Toyota,NY,2020-02-28,Toyota,Camry,2010,78718,18153,16943,1210,Loan,New,42,Sedan
San Diego Toyota,CA,2022-10-17,Toyota,Camry,2024,35377,30596,27273,3323,Lease,New,26,Sedan
Toyota of Los Angeles,CA,2024-12-16,Toyota,Prius,2021,42897,26218,23511,2707,Loan,New,44,Hatchback
San Diego Toyota,CA,2020-11-27,Toyota,Corolla,2024,57221,40476,35062,5414,Cash,Returning,55,Sedan
San Diego Toyota,CA,2020-08-08,Toyota,Prius,2019,32460,32076,29017,3058,Loan,New,62,Hatchback
Toyota of Manhattan,NY,2016-06-01,Toyota,Prius,2015,87840,19481,18198,1283,Cash,Returning,51,Hatchback
Queens Toyota,NY,2022-06-06,Toyota,Tacoma,2015,51527,19852,15999,3853,Cash,New,29,Truck
Bay Area Toyota,CA,2016-10-06,Toyota,Corolla,2022,70344,19520,16817,2703,Loan,Returning,47,Sedan
Brooklyn Toyota,NY,2020-06-05,Toyota,Rav4,2013,72473,17510,14540,2969,Loan,New,24,SUV
Austin Toyota,TX,2024-06-11,Toyota,Camry,2020,32745,33120,30718,2402,Loan,Returning,50,Sedan
Bay Area Toyota,CA,2019-08-04,Toyota,Camry,2017,79793,24532,22686,1846,Lease,New,35,Sedan
Queens Toyota,NY,2017-06-09,Toyota,Tundra,2017,34942,26271,21550,4721,Loan,New,43,Truck
Toyota of Houston,TX,2024-03-11,Toyota,Camry,2015,67934,29113,25640,3473,Cash,New,58,Sedan
Toyota of Manhattan,NY,2015-10-03,Toyota,Corolla,2013,69103,13395,12156,1238,Cash,New,68,Sedan
Toyota of Houston,TX,2017-12-03,Toyota,Tundra,2011,57836,20700,17079,3621,Loan,Returning,17,Truck
San Diego Toyota,CA,2020-07-01,Toyota,Prius,2012,83460,16821,14146,2674,Cash,New,60,Hatchback
Austin Toyota,TX,2023-05-24,Toyota,Rav4,2020,12768,26864,22806,4058,Loan,New,29,SUV
Toyota of Manhattan,NY,2022-11-02,Toyota,Rav4,2016,66536,28788,27297,1490,Loan,Returning,18,SUV
Toyota of Houston,TX,2021-07-19,Toyota,Tundra,2019,26108,26195,22548,3646,Loan,Returning,48,Truck
Austin Toyota,TX,2019-06-14,Toyota,Tacoma,2020,43141,24788,23084,1704,Lease,New,61,Truck
Austin Toyota,TX,2019-01-01,Toyota,Rav4,2016,79348,24199,22133,2065,Cash,New,27,SUV
San Diego Toyota,CA,2017-01-15,Toyota,Corolla,2011,62832,19032,15251,3781,Loan,Returning,42,Sedan
Brooklyn Toyota,NY,2022-05-01,Toyota,Tacoma,2012,84236,14868,12511,2356,Loan,New,3,Truck
Toyota of Manhattan,NY,2020-11-11,Toyota,Camry,2022,39848,28712,26113,2598,Loan,New,45,Sedan
Brooklyn Toyota,NY,2016-11-10,Toyota,Camry,2019,65726,29651,24865,4786,Loan,New,42,Sedan
Toyota of Manhattan,NY,2019-06-10,Toyota,Rav4,2014,52359,17881,16121,1760,Lease,Returning,38,SUV
Queens Toyota,NY,2019-06-19,Toyota,Tacoma,2014,72910,23844,19207,4637,Loan,New,30,Truck
Toyota of Manhattan,NY,2020-05-22,Toyota,Tacoma,2011,93404,10270,9161,1108,Loan,New,21,Truck
Dallas Toyota,TX,2024-07-26,Toyota,Prius,2010,57287,18915,16751,2164,Lease,New,53,Hatchback
Toyota of Houston,TX,2017-04-23,Toyota,Corolla,2015,73511,19280,15527,3752,Loan,New,34,Sedan
Brooklyn Toyota,NY,2018-01-15,Toyota,Tacoma,2020,47626,25433,22534,2899,Lease,New,58,Truck
Toyota of Houston,TX,2024-02-02,Toyota,Tundra,2015,2655,19627,17715,1911,Loan,Returning,41,Truck
Austin Toyota,TX,2019-12-03,Toyota,Tacoma,2010,88139,12789,11099,1690,Loan,Returning,43,Truck
Toyota of Manhattan,NY,2023-09-21,Toyota,Highlander,2015,40756,20191,16600,3591,Lease,New,41,SUV
Austin Toyota,TX,2019-11-04,Toyota,Rav4,2024,19212,33326,29597,3729,Cash,Returning,0,SUV
Bay Area Toyota,CA,2018-05-11,Toyota,Corolla,2023,63633,34712,32033,2678,Lease,New,32,Sedan
Brooklyn Toyota,NY,2020-12-13,Toyota,Prius,2024,24880,35426,33230,2195,Lease,New,40,Hatchback
Dallas Toyota,TX,2021-04-03,Toyota,Camry,2021,28597,25117,20440,4676,Loan,Returning,51,Sedan
Toyota of Houston,TX,2018-09-19,Toyota,Rav4,2024,18828,30881,28493,2387,Lease,New,28,SUV
Toyota of Los Angeles,CA,2017-10-15,Toyota,Highlander,2015,57109,25842,23703,2138,Cash,New,44,SUV
Toyota of Los Angeles,CA,2023-02-10,Toyota,Tacoma,2023,23954,32196,28976,3220,Lease,Returning,63,Truck
Dallas Toyota,TX,2018-10-19,Toyota,Highlander,2010,75187,11208,9125,2082,Loan,New,25,SUV
Bay Area Toyota,CA,2022-11-23,Toyota,Rav4,2012,70069,17850,15605,2244,Lease,New,46,SUV
Bay Area Toyota,CA,2020-09-18,Toyota,Tundra,2011,74028,18501,16259,2241,Loan,New,74,Truck
San Diego Toyota,CA,2021-10-18,Toyota,Highlander,2024,10034,31039,29206,1832,Cash,New,51,SUV
Toyota of Los Angeles,CA,2021-05-08,Toyota,Highlander,2021,35779,28311,24016,4294,Lease,Returning,52,SUV
Bay Area Toyota,CA,2015-12-03,Toyota,Camry,2022,26644,30825,25251,5573,Loan,New,44,Sedan
Toyota of Manhattan,NY,2022-12-06,Toyota,Highlander,2012,54660,16650,14381,2269,Loan,New,43,SUV
Toyota of Houston,TX,2022-12-02,Toyota,Tacoma,2017,39617,24041,20155,3885,Cash,New,37,Truck
Brooklyn Toyota,NY,2024-10-09,Toyota,Tundra,2010,55093,15557,13413,2144,Loan,Returning,42,Truck
Austin Toyota,TX,2020-01-26,Toyota,Tundra,2019,55307,24647,21530,3116,Cash,New,59,Truck
Toyota of Manhattan,NY,2017-04-13,Toyota,Highlander,2011,82895,12839,10785,2053,Loan,Returning,66,SUV
Austin Toyota,TX,2021-11-11,Toyota,Prius,2022,49640,30924,26494,4429,Loan,New,7,Hatchback
Dallas Toyota,TX,2021-07-08,Toyota,Rav4,2011,49919,13713,12945,767,Lease,Returning,16,SUV
Toyota of Houston,TX,2018-06-12,Toyota,Rav4,2014,64195,24672,22483,2188,Lease,New,45,SUV
Queens Toyota,NY,2019-07-13,Toyota,Tacoma,2019,40153,25248,21867,3380,Cash,New,35,Truck
Bay Area Toyota,CA,2022-07-17,Toyota,Camry,2016,47991,24061,21153,2908,Loan,New,43,Sedan
Queens Toyota,NY,2023-12-26,Toyota,Corolla,2024,53575,26901,24813,2088,Cash,Returning,51,Sedan
Toyota of Los Angeles,CA,2022-10-27,Toyota,Tacoma,2018,42722,30296,25699,4596,Cash,New,44,Truck
Toyota of Houston,TX,2023-01-12,Toyota,Camry,2020,62873,28070,23997,4072,Cash,New,42,Sedan
Bay Area Toyota,CA,2018-04-02,Toyota,Camry,2022,60699,29163,25172,3990,Loan,New,39,Sedan
Toyota of Los Angeles,CA,2022-07-06,Toyota,Rav4,2021,34202,32680,29809,2870,Cash,New,47,SUV
Brooklyn Toyota,NY,2017-09-23,Toyota,Tacoma,2022,30650,33536,31831,1705,Lease,New,64,Truck
Toyota of Manhattan,NY,2018-05-26,Toyota,Corolla,2013,81844,17351,14599,2751,Loan,Returning,59,Sedan
Queens Toyota,NY,2017-05-24,Toyota,Camry,2013,81247,29903,24090,5812,Cash,New,22,Sedan
Brooklyn Toyota,NY,2021-10-01,Toyota,Camry,2020,16920,24740,22307,2432,Loan,New,55,Sedan
Queens Toyota,NY,2024-06-05,Toyota,Camry,2014,28124,18801,16677,2123,Loan,Returning,51,Sedan
San Diego Toyota,CA,2015-06-06,Toyota,Tacoma,2012,96445,17185,14196,2988,Loan,New,38,Truck
Austin Toyota,TX,2021-05-14,Toyota,Prius,2021,17885,29707,26636,3071,Lease,New,16,Hatchback
Bay Area Toyota,CA,2017-02-23,Toyota,Tundra,2014,73348,18141,14593,3548,Lease,New,57,Truck
Queens Toyota,NY,2015-04-05,Toyota,Camry,2023,26937,25520,21979,3541,Lease,New,67,Sedan
Queens Toyota,NY,2016-06-25,Toyota,Corolla,2016,86612,23160,19222,3938,Cash,Returning,39,Sedan
Toyota of Manhattan,NY,2023-01-26,Toyota,Camry,2012,89815,18842,17501,1341,Cash,New,19,Sedan
Toyota of Los Angeles,CA,2018-01-11,Toyota,Rav4,2014,58190,24737,22151,2586,Loan,Returning,60,SUV
Toyota of Houston,TX,2018-09-02,Toyota,Prius,2013,50665,21462,20350,1111,Loan,Returning,28,Hatchback
Toyota of Manhattan,NY,2023-10-14,Toyota,Prius,2012,89315,13671,11067,2603,Cash,New,48,Hatchback
Toyota of Houston,TX,2020-06-19,Toyota,Prius,2017,101532,18574,17499,1074,Lease,New,39,Hatchback
San Diego Toyota,CA,2021-09-04,Toyota,Corolla,2013,68439,27591,24216,3374,Loan,New,49,Sedan
Toyota of Los Angeles,CA,2021-09-19,Toyota,Prius,2017,52165,23841,21688,2152,Cash,Returning,65,Hatchback
San Diego Toyota,CA,2018-06-01,Toyota,Prius,2020,55738,27352,23634,3717,Loan,New,45,Hatchback
Austin Toyota,TX,2021-02-18,Toyota,Highlander,2022,25109,28436,24941,3495,Lease,New,51,SUV
Toyota of Manhattan,NY,2015-06-15,Toyota,Corolla,2016,79881,16404,13592,2812,Loan,New,49,Sedan
Austin Toyota,TX,2016-05-23,Toyota,Camry,2024,58243,33077,27454,5623,Loan,New,60,Sedan
Brooklyn Toyota,NY,2022-11-12,Toyota,Tacoma,2016,44661,28666,24280,4385,Loan,Returning,39,Truck
San Diego Toyota,CA,2019-07-25,Toyota,Prius,2016,71908,20032,17520,2511,Cash,New,49,Hatchback
Brooklyn Toyota,NY,2018-11-27,Toyota,Rav4,2015,27210,22240,18409,3830,Lease,New,46,SUV
Toyota of Manhattan,NY,2022-12-03,Toyota,Tundra,2013,42352,16923,13964,2959,Loan,New,33,Truck
Dallas Toyota,TX,2022-02-06,Toyota,Prius,2016,36105,29455,25120,4335,Lease,New,24,Hatchback
San Diego Toyota,CA,2017-09-09,Toyota,Tundra,2021,45264,24122,22155,1967,Loan,Returning,36,Truck
Toyota of Houston,TX,2021-02-07,Toyota,Highlander,2015,31892,25421,23490,1931,Loan,Returning,23,SUV
Bay Area Toyota,CA,2015-01-16,Toyota,Prius,2014,70254,29439,26723,2715,Loan,Returning,50,Hatchback
Dallas Toyota,TX,2023-02-07,Toyota,Corolla,2022,85546,19983,17122,2861,Cash,New,22,Sedan
Toyota of Houston,TX,2021-12-19,Toyota,Tundra,2011,89903,18342,16515,1826,Cash,New,67,Truck
Toyota of Manhattan,NY,2021-04-13,Toyota,Highlander,2010,44791,27246,21948,5297,Loan,New,59,SUV
Toyota of Houston,TX,2023-06-28,Toyota,Camry,2010,66750,16718,15625,1092,Loan,New,52,Sedan
Dallas Toyota,TX,2023-09-28,Toyota,Tundra,2014,31302,21599,19508,2090,Loan,Returning,33,Truck
Toyota of Manhattan,NY,2023-09-05,Toyota,Rav4,2012,99965,21689,19313,2375,Loan,New,31,SUV
San Diego Toyota,CA,2022-01-26,Toyota,Camry,2020,48764,28573,24701,3872,Cash,Returning,40,Sedan
Bay Area Toyota,CA,2020-09-01,Toyota,Rav4,2024,30611,33257,29059,4198,Cash,Returning,57,SUV
Brooklyn Toyota,NY,2018-07-23,Toyota,Tacoma,2013,48421,28212,25050,3161,Loan,New,32,Truck
Brooklyn Toyota,NY,2015-02-19,Toyota,Highlander,2014,67067,19436,16081,3355,Loan,New,22,SUV
Queens Toyota,NY,2018-10-03,Toyota,Rav4,2013,32822,26661,24442,2218,Loan,New,47,SUV
Toyota of Manhattan,NY,2021-02-10,Toyota,Prius,2023,52086,31618,25800,5817,Loan,New,34,Hatchback
Toyota of Houston,TX,2022-12-17,Toyota,Rav4,2021,57125,22689,21402,1286,Loan,New,31,SUV
Dallas Toyota,TX,2021-04-21,Toyota,Corolla,2015,46558,29763,24342,5420,Loan,New,31,Sedan
Queens Toyota,NY,2024-07-15,Toyota,Rav4,2015,42305,22511,19602,2909,Cash,New,56,SUV
Toyota of Los Angeles,CA,2018-07-26,Toyota,Highlander,2012,55933,21944,19181,2763,Cash,New,66,SUV
Toyota of Houston,TX,2018-11-22,Toyota,Rav4,2020,24245,22822,18520,4301,Loan,New,37,SUV
San Diego Toyota,CA,2020-10-02,Toyota,Highlander,2013,50626,24772,23058,1713,Cash,New,43,SUV
Toyota of Houston,TX,2023-07-19,Toyota,Prius,2012,74209,20105,18646,1458,Loan,New,15,Hatchback
Austin Toyota,TX,2016-12-11,Toyota,Highlander,2022,48343,25927,23993,1934,Loan,New,18,SUV
Bay Area Toyota,CA,2017-03-14,Toyota,Highlander,2016,50553,23110,21703,1406,Loan,New,26,SUV
Toyota of Manhattan,NY,2016-03-22,Toyota,Tundra,2019,67500,34478,31301,3177,Cash,New,47,Truck
Queens Toyota,NY,2015-11-09,Toyota,Tundra,2024,28232,29753,25328,4424,Loan,New,73,Truck
San Diego Toyota,CA,2016-07-22,Toyota,Tacoma,2012,73891,15350,13382,1967,Loan,New,33,Truck
Toyota of Manhattan,NY,2016-11-23,Toyota,Highlander,2024,0,31709,26777,4932,Loan,Returning,27,SUV
Dallas Toyota,TX,2018-11-11,Toyota,Corolla,2012,74858,18692,16303,2389,Loan,New,39,Sedan
Austin Toyota,TX,2020-12-19,Toyota,Tundra,2023,39024,34449,29572,4876,Cash,Returning,27,Truck
Bay Area Toyota,CA,2019-11-07,Toyota,Tundra,2013,38268,23801,21374,2427,Lease,Returning,3,Truck
San Diego Toyota,CA,2018-03-04,Toyota,Prius,2022,30524,29389,27795,1594,Cash,New,38,Hatchback
Queens Toyota,NY,2022-08-18,Toyota,Prius,2018,86326,24363,20160,4202,Loan,New,47,Hatchback
Bay Area Toyota,CA,2020-01-06,Toyota,Rav4,2017,76612,22277,18435,3842,Lease,New,37,SUV
Dallas Toyota,TX,2020-08-10,Toyota,Tundra,2014,58789,23961,22649,1312,Loan,Returning,41,Truck
Toyota of Los Angeles,CA,2021-07-16,Toyota,Tacoma,2021,16885,34476,31037,3438,Lease,Returning,44,Truck
Queens Toyota,NY,2022-06-11,Toyota,Rav4,2019,50893,26982,22368,4614,Loan,New,23,SUV
Toyota of Houston,TX,2022-06-24,Toyota,Camry,2024,41258,28826,25507,3318,Loan,New,51,Sedan
Brooklyn Toyota,NY,2015-06-25,Toyota,Prius,2014,89621,16446,14711,1735,Loan,New,46,Hatchback
Queens Toyota,NY,2024-08-17,Toyota,Tundra,2018,57778,32304,27942,4362,Cash,New,40,Truck
Toyota of Los Angeles,CA,2024-04-19,Toyota,Rav4,2017,0,21227,20154,1073,Loan,New,50,SUV
Bay Area Toyota,CA,2024-10-25,Toyota,Camry,2020,46724,29082,24947,4135,Loan,New,45,Sedan
Dallas Toyota,TX,2015-12-27,Toyota,Highlander,2021,17087,35030,31650,3379,Loan,New,62,SUV
Brooklyn Toyota,NY,2021-09-17,Toyota,Corolla,2015,71717,18603,15777,2826,Loan,New,22,Sedan
San Diego Toyota,CA,2022-03-15,Toyota,Prius,2011,74181,13883,12325,1558,Lease,New,17,Hatchback
San Diego Toyota,CA,2016-06-03,Toyota,Tacoma,2022,28665,27860,25209,2651,Lease,New,42,Truck
Toyota of Manhattan,NY,2017-12-05,Toyota,Highlander,2017,90997,18735,17424,1310,Lease,New,63,SUV
San Diego Toyota,CA,2023-10-04,Toyota,Camry,2015,77394,21475,19759,1716,Loan,New,34,Sedan
Bay Area Toyota,CA,2017-08-07,Toyota,Prius,2024,50636,33124,29326,3798,Loan,New,48,Hatchback
San Diego Toyota,CA,2015-12-28,Toyota,Camry,2023,25966,26938,22477,4460,Loan,New,43,Sedan
Toyota of Los Angeles,CA,2022-11-16,Toyota,Tacoma,2014,75159,25378,22307,3071,Cash,New,16,Truck
Dallas Toyota,TX,2015-01-04,Toyota,Prius,2018,39707,28711,25809,2902,Cash,New,33,Hatchback
Toyota of Houston,TX,2019-10-15,Toyota,Prius,2013,59245,15416,13582,1833,Loan,New,53,Hatchback
Austin Toyota,TX,2018-01-15,Toyota,Tundra,2021,40696,30518,27368,3149,Cash,Returning,61,Truck
Toyota of Manhattan,NY,2018-10-16,Toyota,Tacoma,2010,93767,11490,9272,2218,Loan,New,34,Truck
Toyota of Los Angeles,CA,2016-05-27,Toyota,Tacoma,2010,75952,16058,15133,924,Loan,New,20,Truck
Toyota of Manhattan,NY,2021-04-15,Toyota,Corolla,2019,68315,26990,24866,2123,Loan,New,68,Sedan
Dallas Toyota,TX,2016-08-14,Toyota,Prius,2015,65237,18128,15022,3105,Loan,New,50,Hatchback
Toyota of Houston,TX,2016-05-01,Toyota,Tacoma,2024,23389,29425,25498,3926,Loan,New,35,Truck
Toyota of Los Angeles,CA,2019-07-28,Toyota,Tundra,2019,43280,25071,20997,4073,Cash,New,47,Truck
Austin Toyota,TX,2016-04-21,Toyota,Camry,2012,91684,11713,10205,1508,Loan,Returning,44,Sedan
Toyota of Manhattan,NY,2019-01-11,Toyota,Corolla,2023,34274,32522,30182,2339,Lease,New,31,Sedan
Toyota of Manhattan,NY,2023-05-09,Toyota,Rav4,2011,107112,13573,12442,1130,Loan,Returning,37,SUV
Toyota of Los Angeles,CA,2017-07-12,Toyota,Tundra,2022,52613,24938,20570,4368,Loan,New,37,Truck
Toyota of Houston,TX,2023-08-13,Toyota,Tacoma,2024,6946,34167,32409,1757,Loan,New,27,Truck
Bay Area Toyota,CA,2015-05-13,Toyota,Highlander,2018,47535,30620,26646,3973,Loan,New,56,SUV
Bay Area Toyota,CA,2016-11-20,Toyota,Rav4,2019,40579,26349,24211,2137,Loan,New,48,SUV
Toyota of Manhattan,NY,2017-11-14,Toyota,Tacoma,2020,72896,30473,26129,4344,Cash,New,35,Truck
Toyota of Los Angeles,CA,2018-11-08,Toyota,Tundra,2024,22247,41974,34967,7007,Loan,New,34,Truck
Toyota of Houston,TX,2015-09-07,Toyota,Corolla,2019,60534,30836,28252,2583,Lease,New,31,Sedan
Brooklyn Toyota,NY,2022-02-28,Toyota,Prius,2015,67103,21766,19740,2025,Cash,New,59,Hatchback
Toyota of Los Angeles,CA,2016-12-23,Toyota,Tacoma,2023,0,38250,32042,6208,Loan,New,19,Truck
Bay Area Toyota,CA,2022-05-23,Toyota,Camry,2018,35780,30875,27385,3489,Loan,New,56,Sedan
Austin Toyota,TX,2024-09-02,Toyota,Prius,2024,63242,29398,26522,2875,Lease,New,65,Hatchback
San Diego Toyota,CA,2020-09-07,Toyota,Rav4,2014,65821,18249,16248,2001,Cash,New,40,SUV
Queens Toyota,NY,2022-06-08,Toyota,Tundra,2018,23483,26541,23356,3184,Lease,Returning,38,Truck
Dallas Toyota,TX,2020-06-15,Toyota,Prius,2017,69471,26001,22593,3408,Cash,New,39,Hatchback
Brooklyn Toyota,NY,2019-09-08,Toyota,Camry,2022,9992,35031,28075,6956,Loan,New,44,Sedan
Toyota of Houston,TX,2020-09-04,Toyota,Tundra,2020,70053,28229,25177,3052,Cash,New,32,Truck
